Baud rate 2400, low carrier filter 1, 2dB boost
Frequency, Gain (dB), Gain (linear), Half gain (linear)
    0.0000, 0.2086644775, 1.02431, 1.21011
    8.0000, 0.2087234169, 1.02432, 1.21005
   16.0000, 0.2089002255, 1.02434, 1.20990
   24.0000, 0.2091948751, 1.02438, 1.20963
   32.0000, 0.2096073185, 1.02443, 1.20927
   40.0000, 0.2101374888, 1.02449, 1.20880
   48.0000, 0.2107852992, 1.02456, 1.20822
   56.0000, 0.2115506422, 1.02465, 1.20754
   64.0000, 0.2124333890, 1.02476, 1.20676
   72.0000, 0.2134333880, 1.02488, 1.20588
   80.0000, 0.2145504645, 1.02501, 1.20489
   88.0000, 0.2157844186, 1.02515, 1.20381
   96.0000, 0.2171350247, 1.02531, 1.20262
  104.0000, 0.2186020295, 1.02549, 1.20133
  112.0000, 0.2201851506, 1.02567, 1.19994
  120.0000, 0.2218840749, 1.02587, 1.19846
  128.0000, 0.2236984571, 1.02609, 1.19687
  136.0000, 0.2256279173, 1.02632, 1.19519
  144.0000, 0.2276720397, 1.02656, 1.19342
  152.0000, 0.2298303704, 1.02681, 1.19155
  160.0000, 0.2321024157, 1.02708, 1.18958
  168.0000, 0.2344876398, 1.02736, 1.18753
  176.0000, 0.2369854629, 1.02766, 1.18538
  184.0000, 0.2395952593, 1.02797, 1.18315
  192.0000, 0.2423163554, 1.02829, 1.18083
  200.0000, 0.2451480276, 1.02863, 1.17842
  208.0000, 0.2480895006, 1.02897, 1.17593
  216.0000, 0.2511399451, 1.02934, 1.17335
  224.0000, 0.2542984764, 1.02971, 1.17069
  232.0000, 0.2575641525, 1.03010, 1.16796
  240.0000, 0.2609359724, 1.03050, 1.16514
  248.0000, 0.2644128746, 1.03091, 1.16225
  256.0000, 0.2679937356, 1.03133, 1.15928
  264.0000, 0.2716773687, 1.03177, 1.15624
  272.0000, 0.2754625226, 1.03222, 1.15313
  280.0000, 0.2793478809, 1.03268, 1.14996
  288.0000, 0.2833320604, 1.03316, 1.14671
  296.0000, 0.2874136114, 1.03364, 1.14340
  304.0000, 0.2915910163, 1.03414, 1.14003
  312.0000, 0.2958626899, 1.03465, 1.13660
  320.0000, 0.3002269791, 1.03517, 1.13311
  328.0000, 0.3046821630, 1.03570, 1.12957
  336.0000, 0.3092264532, 1.03624, 1.12597
  344.0000, 0.3138579945, 1.03680, 1.12232
  352.0000, 0.3185748654, 1.03736, 1.11862
  360.0000, 0.3233750796, 1.03793, 1.11487
  368.0000, 0.3282565866, 1.03852, 1.11109
  376.0000, 0.3332172739, 1.03911, 1.10726
  384.0000, 0.3382549683, 1.03971, 1.10339
  392.0000, 0.3433674382, 1.04032, 1.09948
  400.0000, 0.3485523956, 1.04094, 1.09554
  408.0000, 0.3538074986, 1.04157, 1.09157
  416.0000, 0.3591303547, 1.04221, 1.08757
  424.0000, 0.3645185229, 1.04286, 1.08355
  432.0000, 0.3699695178, 1.04351, 1.07950
  440.0000, 0.3754808126, 1.04418, 1.07543
  448.0000, 0.3810498429, 1.04485, 1.07134
  456.0000, 0.3866740107, 1.04552, 1.06724
  464.0000, 0.3923506888, 1.04621, 1.06312
  472.0000, 0.3980772246, 1.04690, 1.05900
  480.0000, 0.4038509452, 1.04759, 1.05487
  488.0000, 0.4096691620, 1.04829, 1.05073
  496.0000, 0.4155291759, 1.04900, 1.04659
  504.0000, 0.4214282818, 1.04972, 1.04246
  512.0000, 0.4273637747, 1.05043, 1.03833
  520.0000, 0.4333329545, 1.05115, 1.03420
  528.0000, 0.4393331320, 1.05188, 1.03009
  536.0000, 0.4453616345, 1.05261, 1.02598
  544.0000, 0.4514158112, 1.05335, 1.02189
  552.0000, 0.4574930398, 1.05408, 1.01783
  560.0000, 0.4635907319, 1.05482, 1.01378
  568.0000, 0.4697063392, 1.05557, 1.00975
  576.0000, 0.4758373595, 1.05631, 1.00575
  584.0000, 0.4819813430, 1.05706, 1.00179
  592.0000, 0.4881358980, 1.05781, 0.99785
  600.0000, 0.4942986972, 1.05856, 0.99395
  608.0000, 0.5004674836, 1.05931, 0.99008
  616.0000, 0.5066400765, 1.06006, 0.98626
  624.0000, 0.5128143774, 1.06082, 0.98248
  632.0000, 0.5189883759, 1.06157, 0.97875
  640.0000, 0.5251601550, 1.06233, 0.97506
  648.0000, 0.5313278972, 1.06308, 0.97143
  656.0000, 0.5374898893, 1.06384, 0.96785
  664.0000, 0.5436445280, 1.06459, 0.96432
  672.0000, 0.5497903250, 1.06534, 0.96086
  680.0000, 0.5559259113, 1.06610, 0.95746
  688.0000, 0.5620500423, 1.06685, 0.95412
  696.0000, 0.5681616021, 1.06760, 0.95085
  704.0000, 0.5742596073, 1.06835, 0.94764
  712.0000, 0.5803432107, 1.06910, 0.94451
  720.0000, 0.5864117054, 1.06984, 0.94146
  728.0000, 0.5924645273, 1.07059, 0.93848
  736.0000, 0.5985012581, 1.07133, 0.93558
  744.0000, 0.6045216283, 1.07208, 0.93276
  752.0000, 0.6105255184, 1.07282, 0.93003
  760.0000, 0.6165129614, 1.07356, 0.92738
  768.0000, 0.6224841438, 1.07430, 0.92482
  776.0000, 0.6284394066, 1.07503, 0.92235
  784.0000, 0.6343792458, 1.07577, 0.91997
  792.0000, 0.6403043126, 1.07650, 0.91769
  800.0000, 0.6462154128, 1.07724, 0.91550
  808.0000, 0.6521135063, 1.07797, 0.91341
  816.0000, 0.6579997056, 1.07870, 0.91143
  824.0000, 0.6638752744, 1.07943, 0.90954
  832.0000, 0.6697416250, 1.08016, 0.90776
  840.0000, 0.6756003159, 1.08089, 0.90608
  848.0000, 0.6814530489, 1.08161, 0.90452
  856.0000, 0.6873016650, 1.08234, 0.90306
  864.0000, 0.6931481405, 1.08307, 0.90171
  872.0000, 0.6989945828, 1.08380, 0.90048
  880.0000, 0.7048432249, 1.08453, 0.89936
  888.0000, 0.7106964200, 1.08526, 0.89836
  896.0000, 0.7165566360, 1.08600, 0.89747
  904.0000, 0.7224264482, 1.08673, 0.89670
  912.0000, 0.7283085334, 1.08747, 0.89605
  920.0000, 0.7342056619, 1.08820, 0.89552
  928.0000, 0.7401206901, 1.08895, 0.89511
  936.0000, 0.7460565521, 1.08969, 0.89483
  944.0000, 0.7520162516, 1.09044, 0.89467
  952.0000, 0.7580028525, 1.09119, 0.89463
  960.0000, 0.7640194697, 1.09195, 0.89472
  968.0000, 0.7700692598, 1.09271, 0.89494
  976.0000, 0.7761554105, 1.09347, 0.89528
  984.0000, 0.7822811309, 1.09424, 0.89575
  992.0000, 0.7884496408, 1.09502, 0.89635
 1000.0000, 0.7946641596, 1.09580, 0.89708
 1008.0000, 0.8009278956, 1.09660, 0.89794
 1016.0000, 0.8072440347, 1.09739, 0.89893
 1024.0000, 0.8136157287, 1.09820, 0.90005
 1032.0000, 0.8200460840, 1.09901, 0.90130
 1040.0000, 0.8265381502, 1.09983, 0.90268
 1048.0000, 0.8330949076, 1.10066, 0.90419
 1056.0000, 0.8397192561, 1.10150, 0.90583
 1064.0000, 0.8464140033, 1.10235, 0.90760
 1072.0000, 0.8531818524, 1.10321, 0.90950
 1080.0000, 0.8600253907, 1.10408, 0.91153
 1088.0000, 0.8669470783, 1.10496, 0.91369
 1096.0000, 0.8739492360, 1.10585, 0.91599
 1104.0000, 0.8810340347, 1.10676, 0.91841
 1112.0000, 0.8882034838, 1.10767, 0.92096
 1120.0000, 0.8954594207, 1.10860, 0.92363
 1128.0000, 0.9028035000, 1.10953, 0.92644
 1136.0000, 0.9102371837, 1.11048, 0.92937
 1144.0000, 0.9177617311, 1.11145, 0.93243
 1152.0000, 0.9253781891, 1.11242, 0.93562
 1160.0000, 0.9330873839, 1.11341, 0.93892
 1168.0000, 0.9408899119, 1.11441, 0.94236
 1176.0000, 0.9487861319, 1.11542, 0.94591
